Power = 100% * log-1(dB/10),,,,
dB = 10*log*(% Power/100),,,,
dB,Power ratio,,Amplitude ratio,
100,10000000000,,100000,
90,1000000000,,31623,
80,100000000,,10000,
70,10000000,,3162,
60,1000000,,1000,
50,100000,,316,0.2
40,10000,,100,
30,1000,,31,0.62
20,100,,10,
10,10,,3,0.162
6,3,.981 ≈ 4,1,.995 ≈ 2
3,1,.995 ≈ 2,1,.413 ≈ √2
1,1,0.259,1,0.122
0,1,,1,
−1,0,0.794,0,0.891
−3,0,.501 ≈ ⁠1/2⁠,0,.708 ≈ ⁠1/√2⁠
−6,0,.251 ≈ ⁠1/4⁠,0,.501 ≈ ⁠1/2⁠
−10,0,0.1,0,0.3162
−20,0,0.01,0,0.1
−30,0,0.001,0,0.03162
−40,0,0.0001,0,0.01
−50,0,0.00001,0,0.003162
−60,0,0.000001,0,0.001
−70,0,0.0000001,0,0.0003162
−80,0,0.00000001,0,0.0001
−90,0,0.000000001,0,0.00003162
−100,0,1E-10,0,0.00001
